company,stock_code,report_year,source_file,page_number,char_count,extraction_status,priority_reason
中文传媒,600373,2024,02_raw_pdf/600373_中文传媒/annual_report/600373_中文传媒2024年年度报告1783930992444.pdf,26,35,needs_ocr,needs_ocr
中文传媒,600373,2024,02_raw_pdf/600373_中文传媒/annual_report/600373_中文传媒2024年年度报告1783930992444.pdf,250,36,needs_ocr,needs_ocr
四川金顶,600678,2024,02_raw_pdf/600678_四川金顶/annual_report/600678_四川金顶2024年年度报告1784017282544.pdf,38,48,success,sparse_text
南京新百,600682,2024,02_raw_pdf/600682_南京新百/annual_report/600682_南京新百2024年年度报告1784024827668.pdf,3,48,success,sparse_text
南京新百,600682,2024,02_raw_pdf/600682_南京新百/annual_report/600682_南京新百2024年年度报告1784024827668.pdf,279,37,needs_ocr,needs_ocr
华熙生物,688363,2024,02_raw_pdf/688363_华熙生物/annual_report/688363_华熙生物2024年年度报告1784027262503.pdf,83,47,success,sparse_text
康普化学,834033,2024,02_raw_pdf/834033_康普化学/annual_report/834033_康普化学2024年年度报告1784024826637.pdf,57,38,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,2,45,success,sparse_text
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,4,1,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,7,1,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,10,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,18,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,71,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,80,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,86,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,91,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,97,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,98,23,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,99,2,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,110,3,needs_ocr,needs_ocr
五新隧装,835174,2024,02_raw_pdf/835174_五新隧装/annual_report/835174_五新隧装2024年年度报告1784024828340.pdf,205,3,needs_ocr,needs_ocr
